	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
1897	If a bear has thick legs fur, then her mom was very old 	If a bear has thick legs fur, then his hair is blonde 	If a bear has thick legs fur, then her arms are wide 	If a bear has thick legs fur, then his ancestors had the same	D	 her mom was very old 	 his hair is blonde 	 her arms are wide 	 his ancestors had the same
1898	If Earth has poles that are magnetic needles will glow in the dark because of them 	If Earth has poles that are magnetic needles will stab them 	If Earth has poles that are magnetic some poles will be radioactive 	If Earth has poles that are magnetic needles aim that way	D	 needles will glow in the dark because of them 	 needles will stab them 	 some poles will be radioactive 	 needles aim that way
1899	If peas and carrots are planted alternately, fields are useless 	If peas and carrots are planted alternately, dirt is refreshed 	If peas and carrots are planted alternately, sand is dried 	If peas and carrots are planted alternately, water is poisoned	B	 fields are useless 	 dirt is refreshed 	 sand is dried 	 water is poisoned
1900	A yard can become a changed environment when crows show up 	A yard can become a changed environment when humans see it 	A yard can become a changed environment when worms live there 	A yard can become a changed environment when vegetables are farmed	D	 crows show up 	 humans see it 	 worms live there 	 vegetables are farmed
1901	Chewying and swallowing a steak serves it hot 	Chewying and swallowing a steak breaks it down 	Chewying and swallowing a steak losses energy 	Chewying and swallowing a steak dies	B	 serves it hot 	 breaks it down 	 losses energy 	 dies
1902	Smoking can also effect what besides themselves wizards 	Smoking can also effect what besides themselves space 	Smoking can also effect what besides themselves Jonny and Susie 	Smoking can also effect what besides themselves unicorns	C	 wizards 	 space 	 Jonny and Susie 	 unicorns
1903	Erosion can Give me a hair cut 	Erosion can Create a beautiful painting 	Erosion can turn a statue to dust 	Erosion can Clean my car windows	C	 Give me a hair cut 	 Create a beautiful painting 	 turn a statue to dust 	 Clean my car windows
1904	Which is likeliest to be torn by a small child foil 	Which is likeliest to be torn by a small child wood 	Which is likeliest to be torn by a small child steel 	Which is likeliest to be torn by a small child oil	A	 foil 	 wood 	 steel 	 oil
1905	Organic mass is gained in the earth by insect JDZ clones 	Organic mass is gained in the earth by insect mushroom farmers 	Organic mass is gained in the earth by insect garbage eaters 	Organic mass is gained in the earth by insect trash removers	C	 JDZ clones 	 mushroom farmers 	 garbage eaters 	 trash removers
1906	one's ability to hear their name being called across the room indicates the presence of gas in the stove 	one's ability to hear their name being called across the room indicates the presence of water in the walls 	one's ability to hear their name being called across the room indicates the presence of atmosphere in the space 	one's ability to hear their name being called across the room indicates the presence of water in the ears	C	 gas in the stove 	 water in the walls 	 atmosphere in the space 	 water in the ears
1907	A resource that can be endlessly retrieved is knobs 	A resource that can be endlessly retrieved is bricks 	A resource that can be endlessly retrieved is panels 	A resource that can be endlessly retrieved is droplets	D	 knobs 	 bricks 	 panels 	 droplets
1908	An unseen force tugs at celestial bodies giving them shape 	An unseen force tugs at celestial bodies giving them luster 	An unseen force tugs at celestial bodies giving them a trajectory 	An unseen force tugs at celestial bodies giving them color	C	 shape 	 luster 	 a trajectory 	 color
1909	Catfish are what cannibals 	Catfish are what fairies 	Catfish are what grapes 	Catfish are what unicorns	A	 cannibals 	 fairies 	 grapes 	 unicorns
1910	If a pull is strong somewhere, it likely has snakes 	If a pull is strong somewhere, it likely has magnitude 	If a pull is strong somewhere, it likely has water 	If a pull is strong somewhere, it likely has frames	B	 snakes 	 magnitude 	 water 	 frames
1911	Neodymium can hold a car without being in it's proximity 	Neodymium can hold a car without being in it's relocation services 	Neodymium can hold a car without being in it's talking 	Neodymium can hold a car without being in it's seeing each other	A	 proximity 	 relocation services 	 talking 	 seeing each other
1912	A portion of the earth, and other planets is a layer which is composed of large limestone bunkers 	A portion of the earth, and other planets is a layer which is composed of thick stone piles 	A portion of the earth, and other planets is a layer which is composed of mostly solid clay 	A portion of the earth, and other planets is a layer which is composed of silicate rocky shell	D	 large limestone bunkers 	 thick stone piles 	 mostly solid clay 	 silicate rocky shell
1913	If a duck lays seven eggs and last year they laid zero eggs, this year they are male 	If a duck lays seven eggs and last year they laid zero eggs, this year they are increasing young 	If a duck lays seven eggs and last year they laid zero eggs, this year they are producing zero 	If a duck lays seven eggs and last year they laid zero eggs, this year they are producing live young	B	 male 	 increasing young 	 producing zero 	 producing live young
1914	The tree trunk is what holds up the sky 	The tree trunk is what holds up the roots 	The tree trunk is what holds up the sky 	The tree trunk is what holds up the leaves	D	 sky 	 roots 	 sky 	 leaves
1915	If an oak seed is placed in a compost pile in a garden, the garden's ecosystem will be negatively disrupted forever 	If an oak seed is placed in a compost pile in a garden, the garden's ecosystem will be made much worse 	If an oak seed is placed in a compost pile in a garden, the garden's ecosystem will be altered in damaging ways 	If an oak seed is placed in a compost pile in a garden, the garden's ecosystem will adjust in positive ways	D	 be negatively disrupted forever 	 be made much worse 	 be altered in damaging ways 	 adjust in positive ways
1916	A person can bring harm to an animal habitat by avoiding it 	A person can bring harm to an animal habitat by leaving it alone 	A person can bring harm to an animal habitat by building in it 	A person can bring harm to an animal habitat by ignoring it	C	 avoiding it 	 leaving it alone 	 building in it 	 ignoring it
1917	A foot uses force on spheres in baseball 	A foot uses force on spheres in kickball 	A foot uses force on spheres in golf 	A foot uses force on spheres in hockey	B	 baseball 	 kickball 	 golf 	 hockey
1918	Classes and categories are both part of distraction 	Classes and categories are both part of confusion 	Classes and categories are both part of control 	Classes and categories are both part of designating	D	 distraction 	 confusion 	 control 	 designating
1919	If a thing changes through a chemical process, it will have different and new chemical properties, such as adding cats to a home 	If a thing changes through a chemical process, it will have different and new chemical properties, such as adding cream to tile 	If a thing changes through a chemical process, it will have different and new chemical properties, such as adding lemon juice to milk 	If a thing changes through a chemical process, it will have different and new chemical properties, such as adding salt to sand	C	 adding cats to a home 	 adding cream to tile 	 adding lemon juice to milk 	 adding salt to sand
1920	If steam chills then the vapor will burn 	If steam chills then the vapor will melt 	If steam chills then the vapor will boil 	If steam chills then the vapor will thicken	D	 burn 	 melt 	 boil 	 thicken
1921	If a day has passed, so has most of a month 	If a day has passed, so has most of thirty hours 	If a day has passed, so has most of a week 	If a day has passed, so has most of a year	B	 most of a month 	 most of thirty hours 	 most of a week 	 most of a year
1922	A child will share a physical trait such as this with parents due to DNA: hair length 	A child will share a physical trait such as this with parents due to DNA: vacation days 	A child will share a physical trait such as this with parents due to DNA: nose shape 	A child will share a physical trait such as this with parents due to DNA: pet preference	C	 hair length 	 vacation days 	 nose shape 	 pet preference
1923	If an island is experiencing a hot summer it is because of the water 	If an island is experiencing a hot summer it is because of the axis 	If an island is experiencing a hot summer it is because of the shade 	If an island is experiencing a hot summer it is because of glaciers	B	 of the water 	 of the axis 	 of the shade 	 of glaciers
1924	This keeps animals warm but it is possible to have too much comfort 	This keeps animals warm but it is possible to have too much body fat 	This keeps animals warm but it is possible to have too much shelter 	This keeps animals warm but it is possible to have too much protection	B	 comfort 	 body fat 	 shelter 	 protection
1925	A peach pit holds the beginning nutrients 	A peach pit holds the beginning high school students 	A peach pit holds the beginning water 	A peach pit holds the beginning pocket change	A	 nutrients 	 high school students 	 water 	 pocket change
1926	Wind energy is unreal 	Wind energy is careless 	Wind energy is re-useable 	Wind energy is noneffective	C	 unreal 	 careless 	 re-useable 	 noneffective
1927	The mounds at the beach are made of heavily buttered bagels 	The mounds at the beach are made of sauteed mushrooms 	The mounds at the beach are made of silica 	The mounds at the beach are made of high school students	C	 heavily buttered bagels 	 sauteed mushrooms 	 silica 	 high school students
1928	An example of electrical energy is air 	An example of electrical energy is audio speakers 	An example of electrical energy is candles 	An example of electrical energy is grass	B	 air 	 audio speakers 	 candles 	 grass
1929	When a hurricane glides over a continent it runs for president 	When a hurricane glides over a continent it becomes an earthquake 	When a hurricane glides over a continent it increases in strength 	When a hurricane glides over a continent it decreases in strength	D	 runs for president 	 becomes an earthquake 	 increases in strength 	 decreases in strength
1930	Weathering can release a best selling album 	Weathering can create a black hole in the desert 	Weathering can turn a sculpture to dust 	Weathering can create a time traveling vortex	C	 release a best selling album 	 create a black hole in the desert 	 turn a sculpture to dust 	 create a time traveling vortex
1931	The temperature changing may produce daisies 	The temperature changing may produce black holes 	The temperature changing may produce magic 	The temperature changing may produce time travel	A	 daisies 	 black holes 	 magic 	 time travel
1932	A pollution source in a county may be compost pile 	A pollution source in a county may be grass seeds 	A pollution source in a county may be recycling center 	A pollution source in a county may be trash heap	D	 compost pile 	 grass seeds 	 recycling center 	 trash heap
1933	Plankton can be the food as well as the creator of water 	Plankton can be the food as well as the creator of magic 	Plankton can be the food as well as the creator of nourishment 	Plankton can be the food as well as the creator of alcohol	C	 water 	 magic 	 nourishment 	 alcohol
1934	Most of the pollutants in the air and in our world are there due to wolves attacking deer 	Most of the pollutants in the air and in our world are there due to dolphins under water 	Most of the pollutants in the air and in our world are there due to man made reasons 	Most of the pollutants in the air and in our world are there due to naturally occurring reasons	C	 wolves attacking deer 	 dolphins under water 	 man made reasons 	 naturally occurring reasons
1935	Beavers producing offspring after Winter impacts their life neutrally 	Beavers producing offspring after Winter impacts their life negatively 	Beavers producing offspring after Winter impacts their life very little 	Beavers producing offspring after Winter impacts their life positively	D	 neutrally 	 negatively 	 very little 	 positively
1936	Hummingbirds contribute to seed dispersal by consuming flower sustenance 	Hummingbirds contribute to seed dispersal by eating pizza 	Hummingbirds contribute to seed dispersal by swimming in bleach 	Hummingbirds contribute to seed dispersal by going to space	A	 consuming flower sustenance 	 eating pizza 	 swimming in bleach 	 going to space
1937	A person can eat a seed if they are consuming raw soup 	A person can eat a seed if they are consuming raw elk 	A person can eat a seed if they are consuming raw fish 	A person can eat a seed if they are consuming raw duku	D	 soup 	 elk 	 fish 	 duku
1938	Undifferentiated cells in plants allow it to grow in clouds 	Undifferentiated cells in plants allow it to grow taller 	Undifferentiated cells in plants allow it to grow without sunlight 	Undifferentiated cells in plants allow it to grow without water	B	 in clouds 	 taller 	 without sunlight 	 without water
1939	If a person is navigating then they are most likely sitting indoors 	If a person is navigating then they are most likely holding a wheel 	If a person is navigating then they are most likely reading a book 	If a person is navigating then they are most likely laying in bed	B	 sitting indoors 	 holding a wheel 	 reading a book 	 laying in bed
1940	if a person needed two objects to be more alike in appearance, they could burn both objects in fire 	if a person needed two objects to be more alike in appearance, they could dip both objects in water 	if a person needed two objects to be more alike in appearance, they could apply identical layers of pigmentation 	if a person needed two objects to be more alike in appearance, they could destroy both the objects	C	 burn both objects in fire 	 dip both objects in water 	 apply identical layers of pigmentation 	 destroy both the objects
1941	The building of a hotel caused many species to be acclimated 	The building of a hotel caused many species to be celebrated 	The building of a hotel caused many species to be hunted 	The building of a hotel caused many species to be destroyed	D	 acclimated 	 celebrated 	 hunted 	 destroyed
1942	dissolving sugar in water will cause it to turn bitter 	dissolving sugar in water will cause it to evaporate faster 	dissolving sugar in water will cause it to slightly warm 	dissolving sugar in water will cause it to become sweet	D	 turn bitter 	 evaporate faster 	 slightly warm 	 become sweet
1943	Animals eat food for the taste but also because without it, they would Smile 	Animals eat food for the taste but also because without it, they would TV 	Animals eat food for the taste but also because without it, they would Shoes 	Animals eat food for the taste but also because without it, they would expire	D	 Smile 	 TV 	 Shoes 	 expire
1944	A sky that is mostly this color will likely be precipitating: yellow 	A sky that is mostly this color will likely be precipitating: gold 	A sky that is mostly this color will likely be precipitating: blue 	A sky that is mostly this color will likely be precipitating: gray	D	 yellow 	 gold 	 blue 	 gray
1945	The organ most made of muscle is the one pumping blood 	The organ most made of muscle is the brain 	The organ most made of muscle is the liver 	The organ most made of muscle is the kidney	A	 one pumping blood 	 brain 	 liver 	 kidney
1946	As our globe makes a complete quick cycle it can and does see the passage of multiple hours 	As our globe makes a complete quick cycle it can and does see the passage of eons 	As our globe makes a complete quick cycle it can and does see the passage of several years 	As our globe makes a complete quick cycle it can and does see the passage of decades	A	 multiple hours 	 eons 	 several years 	 decades
1947	Hawks eat eggs 	Hawks eat eagles 	Hawks eat dogs 	Hawks eat geckos	D	 eggs 	 eagles 	 dogs 	 geckos
1948	Ice might be formed by upper hemisphere 	Ice might be formed by a flowing river 	Ice might be formed by a temperature higher 	Ice might be formed by hot reaction	A	 upper hemisphere 	 a flowing river 	 a temperature higher 	 hot reaction
1949	If a warm potato is left on a steel sink, the potato will burn 	If a warm potato is left on a steel sink, the potato will lose heat 	If a warm potato is left on a steel sink, the potato will get hotter 	If a warm potato is left on a steel sink, the potato will warm up	B	 burn 	 lose heat 	 get hotter 	 warm up
1950	A faucet drips lava 	A faucet drips air 	A faucet drips sand 	A faucet drips melted ice	D	 lava 	 air 	 sand 	 melted ice
1951	A large thing that spews out destructive materials can make babies 	A large thing that spews out destructive materials can eat sandwiches 	A large thing that spews out destructive materials can level planets 	A large thing that spews out destructive materials can create towering hills	D	 make babies 	 eat sandwiches 	 level planets 	 create towering hills
1952	Which of the following statements is true biofuel releases CO2 but is better than oil 	Which of the following statements is true biofuel is without flaws 	Which of the following statements is true biofuel can single-handedly end CO2 production 	Which of the following statements is true biofuel is perfect for the environment	A	 biofuel releases CO2 but is better than oil 	 biofuel is without flaws 	 biofuel can single-handedly end CO2 production 	 biofuel is perfect for the environment
1953	Water molecules descending from a high elevation in liquid form are known as brimstone 	Water molecules descending from a high elevation in liquid form are known as fire 	Water molecules descending from a high elevation in liquid form are known as hail 	Water molecules descending from a high elevation in liquid form are known as rainfall	D	 brimstone 	 fire 	 hail 	 rainfall
1954	If a cow eats only plants, it will avoid eating hay 	If a cow eats only plants, it will avoid eating roots 	If a cow eats only plants, it will avoid eating thistles 	If a cow eats only plants, it will avoid eating venison	D	 hay 	 roots 	 thistles 	 venison
1955	You can find ferrous metals in Glass 	You can find ferrous metals in Grass 	You can find ferrous metals in Vehicle scraps 	You can find ferrous metals in Wood	C	 Glass 	 Grass 	 Vehicle scraps 	 Wood
1956	In addition to a slippery road, blizzards can be dangerous to drive in because you may only see a car in front of you when it's too late 	In addition to a slippery road, blizzards can be dangerous to drive in because snow might break your windshield 	In addition to a slippery road, blizzards can be dangerous to drive in because a lot of deer like to travel during blizzards 	In addition to a slippery road, blizzards can be dangerous to drive in because a tornado is likely to pick up your car	A	 you may only see a car in front of you when it's too late 	 snow might break your windshield 	 a lot of deer like to travel during blizzards 	 a tornado is likely to pick up your car
1957	If you mow over a weed, it will just grow back. Pulling them by the root will make them cry 	If you mow over a weed, it will just grow back. Pulling them by the root will make them perish 	If you mow over a weed, it will just grow back. Pulling them by the root will make them eat 	If you mow over a weed, it will just grow back. Pulling them by the root will make them laugh	B	 cry 	 perish 	 eat 	 laugh
1958	What might make a more musical sound a bug 	What might make a more musical sound electrocution 	What might make a more musical sound a chopstick 	What might make a more musical sound space	C	 a bug 	 electrocution 	 a chopstick 	 space
1959	A way to illuminate a dark study is to spread a good idea 	A way to illuminate a dark study is to introduce a spark to a wick 	A way to illuminate a dark study is to open a small box 	A way to illuminate a dark study is to put a book down	B	 spread a good idea 	 introduce a spark to a wick 	 open a small box 	 put a book down
1960	A tugboat maneuvers a ship  to help watch for sharks 	A tugboat maneuvers a ship  to help load passengers 	A tugboat maneuvers a ship  to help hold their anchor 	A tugboat maneuvers a ship  to help increase their speed	D	 watch for sharks 	 load passengers 	 hold their anchor 	 increase their speed
1961	If an apple tree wanted to spread it's seeds via another entity, it would plant trees 	If an apple tree wanted to spread it's seeds via another entity, it would feed birds 	If an apple tree wanted to spread it's seeds via another entity, it would attract birds 	If an apple tree wanted to spread it's seeds via another entity, it would drop seeds	C	 plant trees 	 feed birds 	 attract birds 	 drop seeds
1962	Keeping shopping bags out of the dump affects the earth neutrally 	Keeping shopping bags out of the dump affects the earth positively 	Keeping shopping bags out of the dump affects the earth negatively 	Keeping shopping bags out of the dump affects the earth very little	B	 neutrally 	 positively 	 negatively 	 very little
1963	Small animals will leave their habitat and look for new shelter when there is a less animals around 	Small animals will leave their habitat and look for new shelter when there is a too much food 	Small animals will leave their habitat and look for new shelter when there is a destruction 	Small animals will leave their habitat and look for new shelter when there is a better food	C	 less animals around 	 too much food 	 destruction 	 better food
1964	A baby chick hatches and recognizes the mother bird above it from the worms it ate 	A baby chick hatches and recognizes the mother bird above it from the birds it discovered 	A baby chick hatches and recognizes the mother bird above it from the warmth it provided 	A baby chick hatches and recognizes the mother bird above it from the leaves it saw	C	 the worms it ate 	 the birds it discovered 	 the warmth it provided 	 the leaves it saw
1965	In saltwater, a squid's method of locomotion results in water being pushed in front of it 	In saltwater, a squid's method of locomotion results in water being sung about by Jethro Tull 	In saltwater, a squid's method of locomotion results in water being displaced in the Great Lakes 	In saltwater, a squid's method of locomotion results in water being displaced directly behind it	D	 pushed in front of it 	 sung about by Jethro Tull 	 displaced in the Great Lakes 	 displaced directly behind it
1966	Natural resources come from nature, so if humans are reckless when working with nature, the amount of resources will go down 	Natural resources come from nature, so if humans are reckless when working with nature, the amount of resources will laugh 	Natural resources come from nature, so if humans are reckless when working with nature, the amount of resources will go up 	Natural resources come from nature, so if humans are reckless when working with nature, the amount of resources will fly away	A	 go down 	 laugh 	 go up 	 fly away
1967	Tiny nits may be seen best when using a vision enhancing aid 	Tiny nits may be seen best when using a series of mirrors 	Tiny nits may be seen best when using a toothpick 	Tiny nits may be seen best when using a glass eye	A	 vision enhancing aid 	 series of mirrors 	 toothpick 	 glass eye
1968	Toggling a light switch on completes a circuit 	Toggling a light switch on makes black holes 	Toggling a light switch on opens a circuit 	Toggling a light switch on breeds contempt	A	 completes a circuit 	 makes black holes 	 opens a circuit 	 breeds contempt
1969	If a light needs to be relocated to another room without leaving that room physically, a person could turn off all lights 	If a light needs to be relocated to another room without leaving that room physically, a person could throw it in the yard 	If a light needs to be relocated to another room without leaving that room physically, a person could get a new lamp 	If a light needs to be relocated to another room without leaving that room physically, a person could redirect it with reflections	D	 turn off all lights 	 throw it in the yard 	 get a new lamp 	 redirect it with reflections
1970	Cake tastes sweet because of sweet and low 	Cake tastes sweet because of sucrose 	Cake tastes sweet because of flour 	Cake tastes sweet because of honey	B	 sweet and low 	 sucrose 	 flour 	 honey
1971	If a puppy is given only water for a very long time, it will starve 	If a puppy is given only water for a very long time, it will need to hydrate 	If a puppy is given only water for a very long time, it will dehydrate 	If a puppy is given only water for a very long time, it will be thirsty	A	 starve 	 need to hydrate 	 dehydrate 	 be thirsty
1972	Two birds in completely different houses can discuss something by sitting 	Two birds in completely different houses can discuss something by thinking 	Two birds in completely different houses can discuss something by vocalizing 	Two birds in completely different houses can discuss something by sleeping	C	 sitting 	 thinking 	 vocalizing 	 sleeping
1973	A crust is a portion of a shoe 	A crust is a portion of a world 	A crust is a portion of a cat 	A crust is a portion of a knife	B	 a shoe 	 a world 	 a cat 	 a knife
1974	Wildfires are exacerbated in part due to dangerously low moisture content in light fuels, commonly brought on by periods of less than usual precipitation 	Wildfires are exacerbated in part due to dangerously low moisture content in light fuels, commonly brought on by torrential rains across the plains 	Wildfires are exacerbated in part due to dangerously low moisture content in light fuels, commonly brought on by too many firefighters with McLeods and Pulaskis 	Wildfires are exacerbated in part due to dangerously low moisture content in light fuels, commonly brought on by high moisture content on incident commanders' heads	A	 periods of less than usual precipitation 	 torrential rains across the plains 	 too many firefighters with McLeods and Pulaskis 	 high moisture content on incident commanders' heads
1975	A person who is trying something out for the first time that will have unpredictable reactions will want zero protection 	A person who is trying something out for the first time that will have unpredictable reactions will want safety goggles 	A person who is trying something out for the first time that will have unpredictable reactions will want naked skin 	A person who is trying something out for the first time that will have unpredictable reactions will want bare hands	B	 want zero protection 	 want safety goggles 	 want naked skin 	 want bare hands
1976	An example of an instinctive behavior is doing a cartwheel outside 	An example of an instinctive behavior is singing on a stage 	An example of an instinctive behavior is eating a large pizza 	An example of an instinctive behavior is a mother feeding the kids	D	 doing a cartwheel outside 	 singing on a stage 	 eating a large pizza 	 a mother feeding the kids
1977	A person wanting to learn something new when they are very young will often try running with the bulls 	A person wanting to learn something new when they are very young will often try skydiving from a plane 	A person wanting to learn something new when they are very young will often try swimming with great white sharks 	A person wanting to learn something new when they are very young will often try rotating feet on pedals	D	 running with the bulls 	 skydiving from a plane 	 swimming with great white sharks 	 rotating feet on pedals
1978	A boy is playing with his toy boat in his wading pool. His mother comes along and sprays more water into the pool. the boat flies 	A boy is playing with his toy boat in his wading pool. His mother comes along and sprays more water into the pool. the boat swims 	A boy is playing with his toy boat in his wading pool. His mother comes along and sprays more water into the pool. the boat drowns 	A boy is playing with his toy boat in his wading pool. His mother comes along and sprays more water into the pool. the boat rises	D	 the boat flies 	 the boat swims 	 the boat drowns 	 the boat rises
1979	A seeing eye dog is able to do this better than his master: open a door 	A seeing eye dog is able to do this better than his master: speak out loud 	A seeing eye dog is able to do this better than his master: talk to friends 	A seeing eye dog is able to do this better than his master: observe visually	D	 open a door 	 speak out loud 	 talk to friends 	 observe visually
1980	A boy that has two legs and two arms has parents that have nearly an arm and a leg 	A boy that has two legs and two arms has parents that have the same number limbs 	A boy that has two legs and two arms has parents that have their left arms only 	A boy that has two legs and two arms has parents that have one right leg each	B	 nearly an arm and a leg 	 the same number limbs 	 their left arms only 	 one right leg each
1981	Digestion is when stomach acid breaks down a pizza 	Digestion is when stomach acid breaks down a house 	Digestion is when stomach acid breaks down a rock 	Digestion is when stomach acid breaks down a car	A	 a pizza 	 a house 	 a rock 	 a car
1982	If a plant's extended portion is larger, it will soak up more light 	If a plant's extended portion is larger, it will put out less pollen 	If a plant's extended portion is larger, it will be wilting very soon 	If a plant's extended portion is larger, it will fold in on itself	A	 soak up more light 	 put out less pollen 	 be wilting very soon 	 fold in on itself
1983	I can see melting occur when cleaning the bathroom 	I can see melting occur when I bake macaroni 	I can see melting occur when I run around 	I can see melting occur when sewing a dress	B	 cleaning the bathroom 	 I bake macaroni 	 I run around 	 sewing a dress
1984	a typical rabbit diet includes crickets 	a typical rabbit diet includes mice 	a typical rabbit diet includes fish 	a typical rabbit diet includes weeds	D	 crickets 	 mice 	 fish 	 weeds
1985	How many full moons are there each month 1,000 	How many full moons are there each month twenty 	How many full moons are there each month 100 	How many full moons are there each month less than two	D	 1,000 	 twenty 	 100 	 less than two
1986	Which would be the worst to wear out in a thunderstorm a large pair of rubber shoes 	Which would be the worst to wear out in a thunderstorm a medallion made of plastic products 	Which would be the worst to wear out in a thunderstorm a medallion made of ferrous metals 	Which would be the worst to wear out in a thunderstorm a medallion made of crystal	C	 a large pair of rubber shoes 	 a medallion made of plastic products 	 a medallion made of ferrous metals 	 a medallion made of crystal
1987	The xylem absorbs water which end of a plant bottom 	The xylem absorbs water which end of a plant top 	The xylem absorbs water which end of a plant left side 	The xylem absorbs water which end of a plant right side	A	 bottom 	 top 	 left side 	 right side
1988	All things which are alive will require this at some point or at many points during its existence: coats 	All things which are alive will require this at some point or at many points during its existence: droplets 	All things which are alive will require this at some point or at many points during its existence: sand 	All things which are alive will require this at some point or at many points during its existence: bugs	B	 coats 	 droplets 	 sand 	 bugs
1989	If you're suffering from hypothermia it would help to get close to an air conditioner 	If you're suffering from hypothermia it would help to get close to a boat 	If you're suffering from hypothermia it would help to get close to a mountain 	If you're suffering from hypothermia it would help to get close to an oven	D	 an air conditioner 	 a boat 	 a mountain 	 an oven
1990	If all potato bugs are infertile, they will likely make efforts to starve 	If all potato bugs are infertile, they will likely breed with some cats 	If all potato bugs are infertile, they will likely be very sad about it 	If all potato bugs are infertile, they will likely cease populating the earth	D	 make efforts to starve 	 breed with some cats 	 be very sad about it 	 cease populating the earth
1991	running turns carbohydrates into fat 	running turns carbohydrates into protein 	running turns carbohydrates into motion and heat 	running turns carbohydrates into sweat	C	 fat 	 protein 	 motion and heat 	 sweat
1992	A way to ingest more fiber for a bear is to eat meat 	A way to ingest more fiber for a bear is to consume fish 	A way to ingest more fiber for a bear is to devour water 	A way to ingest more fiber for a bear is to masticate leaves	D	 eat meat 	 consume fish 	 devour water 	 masticate leaves
1993	Your mom's garden she worked hard on in the Spring will eventually lose its green in the Winter because flowers need certain temperatures to survive. In the winter, they will all fly away 	Your mom's garden she worked hard on in the Spring will eventually lose its green in the Winter because flowers need certain temperatures to survive. In the winter, they will all cry 	Your mom's garden she worked hard on in the Spring will eventually lose its green in the Winter because flowers need certain temperatures to survive. In the winter, they will all run 	Your mom's garden she worked hard on in the Spring will eventually lose its green in the Winter because flowers need certain temperatures to survive. In the winter, they will all perish	D	 fly away 	 cry 	 run 	 perish
1994	as an evergreen matures and grows, it's leaves tend to increase in number 	as an evergreen matures and grows, it's leaves tend to change color 	as an evergreen matures and grows, it's leaves tend to shed 	as an evergreen matures and grows, it's leaves tend to shrink	A	 increase in number 	 change color 	 shed 	 shrink
1995	Something is coming out of clouds on a dark day, so it is likely birds 	Something is coming out of clouds on a dark day, so it is likely dust 	Something is coming out of clouds on a dark day, so it is likely precipitation 	Something is coming out of clouds on a dark day, so it is likely angels	C	 birds 	 dust 	 precipitation 	 angels
1996	Birds carrying away fruit has what kind of impact on the plant positive 	Birds carrying away fruit has what kind of impact on the plant negative 	Birds carrying away fruit has what kind of impact on the plant very low 	Birds carrying away fruit has what kind of impact on the plant neutral	A	 positive 	 negative 	 very low 	 neutral
1997	If rye bread is browned in a device, it uses mainly electrical energy 	If rye bread is browned in a device, it uses mainly water energy 	If rye bread is browned in a device, it uses mainly solar energy 	If rye bread is browned in a device, it uses mainly heat energy	D	 electrical energy 	 water energy 	 solar energy 	 heat energy
1998	This creature is likely to hide away sustenance for the harsh wintry months a chipmunk 	This creature is likely to hide away sustenance for the harsh wintry months a cactus 	This creature is likely to hide away sustenance for the harsh wintry months a chihuahua 	This creature is likely to hide away sustenance for the harsh wintry months a cat	A	 a chipmunk 	 a cactus 	 a chihuahua 	 a cat
1999	June solstice is in winter in Germany 	June solstice is in winter in Canada 	June solstice is in winter in New Zealand 	June solstice is in winter in Panama	C	 Germany 	 Canada 	 New Zealand 	 Panama
2000	Clothes fresh out of the laundry are great because they are darkness 	Clothes fresh out of the laundry are great because they are comfort 	Clothes fresh out of the laundry are great because they are temperate 	Clothes fresh out of the laundry are great because they are wonder	C	 darkness 	 comfort 	 temperate 	 wonder
2001	If an object eventually warms, it was exposed to resistance 	If an object eventually warms, it was exposed to salt 	If an object eventually warms, it was exposed to moisture 	If an object eventually warms, it was exposed to sand	A	 resistance 	 salt 	 moisture 	 sand
2002	adobe works as an electrical paper weight 	adobe works as an electrical pie filler 	adobe works as an electrical chiller 	adobe works as an electrical anti-conductor	D	 paper weight 	 pie filler 	 chiller 	 anti-conductor
2003	If a puppy eats old meat preserved improperly, it can heal 	If a puppy eats old meat preserved improperly, it can do well 	If a puppy eats old meat preserved improperly, it can vomit 	If a puppy eats old meat preserved improperly, it can feel good	C	 heal 	 do well 	 vomit 	 feel good
2004	When my parents reproduce they pass on genes like Cats 	When my parents reproduce they pass on genes like Dating 	When my parents reproduce they pass on genes like Candy 	When my parents reproduce they pass on genes like A mole	D	 Cats 	 Dating 	 Candy 	 A mole
2005	Magnification makes a small thing stuck on metal 	Magnification makes a small thing hard to see 	Magnification makes a small thing really very tiny 	Magnification makes a small thing more easily seen	D	 stuck on metal 	 hard to see 	 really very tiny 	 more easily seen
2006	the closest star to our planet delivers solar energy to the planet this is truth 	the closest star to our planet delivers solar energy to the planet all of these 	the closest star to our planet delivers solar energy to the planet unknown 	the closest star to our planet delivers solar energy to the planet maybe	A	 this is truth 	 all of these 	 unknown 	 maybe
2007	A woman looking through binoculars is watching something distant 	A woman looking through binoculars is watching something near 	A woman looking through binoculars is watching something close 	A woman looking through binoculars is watching something beside her	A	 distant 	 near 	 close 	 beside her
2008	Taking shorter showers is a great way to conserve H2O 	Taking shorter showers is a great way to conserve gasoline 	Taking shorter showers is a great way to conserve sunshine 	Taking shorter showers is a great way to conserve electricity	A	 H2O 	 gasoline 	 sunshine 	 electricity
